Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
1; 100; 5; 4; 8; 800; 600; 0.0062017; 0.0115585; 0.00810854; 86.5164; 161.246; 124.398
1; 100; 10; 4; 8; 800; 600; 0.0058931; 0.0094135; 0.00788712; 106.23; 169.69; 127.56
1; 100; 1; 4; 8; 1920; 1080; 0.0045649; 0.0097729; 0.00799928; 102.324; 219.063; 126.486
1; 100; 5; 4; 8; 1920; 1080; 0.0152645; 0.0211382; 0.0186423; 47.3077; 65.5115; 53.7609
1; 100; 10; 4; 8; 1920; 1080; 0.0129911; 0.0197842; 0.0179933; 50.5454; 76.9758; 55.738
1; 100; 1; 4; 16; 800; 600; 0.0034225; 0.006274; 0.00601615; 159.388; 292.184; 166.865
1; 100; 5; 4; 16; 800; 600; 0.0059854; 0.0100214; 0.00814632; 99.7865; 167.073; 123.586
1; 100; 10; 4; 16; 800; 600; 0.0032865; 0.0091712; 0.0075714; 109.037; 304.275; 134.777
1; 100; 1; 4; 16; 1920; 1080; 0.0050632; 0.009176; 0.00797415; 108.98; 197.504; 126.029
1; 100; 5; 4; 16; 1920; 1080; 0.0156849; 0.0201748; 0.018235; 49.5668; 63.7556; 54.939
1; 100; 10; 4; 16; 1920; 1080; 0.0136884; 0.0221688; 0.0180806; 45.1084; 73.0546; 55.4898
1; 100; 1; 16; 4; 800; 600; 0.0081704; 0.0138223; 0.0112893; 72.3469; 122.393; 89.1219
1; 100; 5; 16; 4; 800; 600; 0.0225305; 0.0309385; 0.0270531; 32.3222; 44.3843; 37.0458
1; 100; 10; 16; 4; 800; 600; 0.0247889; 0.0335505; 0.0273395; 29.8058; 40.3406; 36.6977
1; 100; 1; 16; 4; 1920; 1080; 0.0209739; 0.0336752; 0.0272663; 29.6954; 47.6783; 36.7558
1; 100; 5; 16; 4; 1920; 1080; 0.0540069; 0.0709937; 0.0635399; 14.0858; 18.5162; 15.7583
1; 100; 10; 16; 4; 1920; 1080; 0.0587663; 0.0656627; 0.0616519; 15.2293; 17.0166; 16.2268
